




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (4581)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (FDR)
maturation of LSU-rRNA (GO:0000470)	28	20	6.23	+	3.21	1.97E-04	9.42E-03
ribosomal large subunit biogenesis (GO:0042273)	72	49	16.02	+	3.06	9.02E-09	8.81E-07
cytoplasmic translation (GO:0002181)	122	83	27.14	+	3.06	8.57E-14	1.60E-11
mitotic spindle assembly checkpoint signaling (GO:0007094)	25	17	5.56	+	3.06	8.37E-04	3.27E-02
mitotic spindle checkpoint signaling (GO:0071174)	25	17	5.56	+	3.06	8.37E-04	3.27E-02
spindle assembly checkpoint signaling (GO:0071173)	25	17	5.56	+	3.06	8.37E-04	3.26E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	27	18	6.01	+	3.00	6.33E-04	2.57E-02
regulation of mitochondrial gene expression (GO:0062125)	29	19	6.45	+	2.95	4.90E-04	2.09E-02
spindle checkpoint signaling (GO:0031577)	26	17	5.78	+	2.94	1.03E-03	3.90E-02
respiratory chain complex IV assembly (GO:0008535)	26	17	5.78	+	2.94	1.03E-03	3.89E-02
COPII-coated vesicle budding (GO:0090114)	28	18	6.23	+	2.89	8.00E-04	3.14E-02
negative regulation of mitotic nuclear division (GO:0045839)	35	22	7.79	+	2.83	3.81E-04	1.70E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	29	18	6.45	+	2.79	1.03E-03	3.89E-02
negative regulation of macroautophagy (GO:0016242)	34	21	7.56	+	2.78	5.96E-04	2.46E-02
cytochrome complex assembly (GO:0017004)	36	22	8.01	+	2.75	4.36E-04	1.89E-02
mitochondrial gene expression (GO:0140053)	86	52	19.13	+	2.72	8.70E-08	7.60E-06
mitochondrial RNA metabolic process (GO:0000959)	42	25	9.34	+	2.68	1.95E-04	9.42E-03
spliceosomal snRNP assembly (GO:0000387)	37	22	8.23	+	2.67	5.18E-04	2.19E-02
mitochondrial translation (GO:0032543)	54	31	12.01	+	2.58	5.80E-05	3.22E-03
ribosome assembly (GO:0042255)	61	35	13.57	+	2.58	2.47E-05	1.52E-03
mRNA destabilization (GO:0061157)	69	38	15.35	+	2.48	2.22E-05	1.39E-03
ribonucleoprotein complex subunit organization (GO:0071826)	193	106	42.93	+	2.47	1.30E-12	2.07E-10
ribonucleoprotein complex assembly (GO:0022618)	186	102	41.37	+	2.47	2.88E-12	4.35E-10
rRNA processing (GO:0006364)	219	120	48.71	+	2.46	4.86E-14	9.56E-12
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	23	9.34	+	2.46	9.91E-04	3.76E-02
rRNA metabolic process (GO:0016072)	230	124	51.16	+	2.42	3.45E-14	6.94E-12
negative regulation of nuclear division (GO:0051784)	43	23	9.56	+	2.40	1.15E-03	4.22E-02
RNA destabilization (GO:0050779)	73	39	16.24	+	2.40	3.53E-05	2.08E-03
ribosomal small subunit biogenesis (GO:0042274)	73	39	16.24	+	2.40	3.53E-05	2.08E-03
translation (GO:0006412)	366	194	81.41	+	2.38	6.64E-21	2.22E-18
ribonucleoprotein complex biogenesis (GO:0022613)	424	223	94.31	+	2.36	1.51E-23	6.23E-21
ribosome biogenesis (GO:0042254)	293	154	65.17	+	2.36	1.42E-16	3.34E-14
peptide biosynthetic process (GO:0043043)	388	201	86.30	+	2.33	8.62E-21	2.76E-18
translational initiation (GO:0006413)	66	34	14.68	+	2.32	1.36E-04	6.79E-03
ncRNA processing (GO:0034470)	388	198	86.30	+	2.29	8.79E-20	2.66E-17
tRNA processing (GO:0008033)	129	65	28.69	+	2.27	2.93E-07	2.47E-05
cell aging (GO:0007569)	76	38	16.90	+	2.25	1.23E-04	6.24E-03
positive regulation of viral process (GO:0048524)	66	33	14.68	+	2.25	3.33E-04	1.50E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	30	13.57	+	2.21	8.91E-04	3.43E-02
mRNA splicing, via spliceosome (GO:0000398)	234	115	52.05	+	2.21	2.62E-11	3.61E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	234	115	52.05	+	2.21	2.62E-11	3.58E-09
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	48	21.80	+	2.20	2.02E-05	1.26E-03
positive regulation of mRNA catabolic process (GO:0061014)	84	41	18.68	+	2.19	9.63E-05	5.00E-03
tRNA metabolic process (GO:0006399)	181	88	40.26	+	2.19	9.98E-09	9.62E-07
regulation of mitotic sister chromatid separation (GO:0010965)	66	32	14.68	+	2.18	5.43E-04	2.28E-02
mitochondrial respiratory chain complex assembly (GO:0033108)	93	45	20.69	+	2.18	5.17E-05	2.93E-03
RNA splicing, via transesterification reactions (GO:0000375)	238	115	52.94	+	2.17	5.74E-11	7.65E-09
ncRNA metabolic process (GO:0034660)	469	226	104.32	+	2.17	3.28E-20	1.01E-17
ribonucleoprotein complex localization (GO:0071166)	74	35	16.46	+	2.13	4.23E-04	1.85E-02
tRNA modification (GO:0006400)	91	43	20.24	+	2.12	1.07E-04	5.47E-03
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	64	30	14.24	+	2.11	1.18E-03	4.29E-02
regulation of mRNA processing (GO:0050684)	139	65	30.92	+	2.10	2.45E-06	1.83E-04
amide biosynthetic process (GO:0043604)	500	233	111.22	+	2.10	2.05E-19	6.08E-17
ribonucleoprotein complex export from nucleus (GO:0071426)	73	34	16.24	+	2.09	6.19E-04	2.52E-02
RNA processing (GO:0006396)	847	393	188.40	+	2.09	4.74E-32	2.98E-29
RNA splicing (GO:0008380)	356	163	79.19	+	2.06	2.18E-13	3.93E-11
mRNA processing (GO:0006397)	437	200	97.20	+	2.06	3.33E-16	7.71E-14
mRNA catabolic process (GO:0006402)	125	57	27.80	+	2.05	1.75E-05	1.10E-03
endoplasmic reticulum organization (GO:0007029)	86	39	19.13	+	2.04	4.19E-04	1.83E-02
mitotic sister chromatid segregation (GO:0000070)	115	52	25.58	+	2.03	4.71E-05	2.71E-03
regulation of sister chromatid segregation (GO:0033045)	73	33	16.24	+	2.03	1.39E-03	4.92E-02
regulation of chromosome separation (GO:1905818)	73	33	16.24	+	2.03	1.39E-03	4.91E-02
RNA catabolic process (GO:0006401)	158	71	35.14	+	2.02	2.56E-06	1.90E-04
peptidyl-lysine methylation (GO:0018022)	85	38	18.91	+	2.01	5.98E-04	2.47E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	85	38	18.91	+	2.01	5.98E-04	2.46E-02
ATP synthesis coupled electron transport (GO:0042773)	85	38	18.91	+	2.01	5.98E-04	2.45E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	103	46	22.91	+	2.01	1.65E-04	8.08E-03
negative regulation of translation (GO:0017148)	166	74	36.92	+	2.00	1.92E-06	1.48E-04
positive regulation of mRNA metabolic process (GO:1903313)	115	51	25.58	+	1.99	1.03E-04	5.29E-03
RNA 3'-end processing (GO:0031123)	106	47	23.58	+	1.99	1.96E-04	9.41E-03
mRNA metabolic process (GO:0016071)	564	250	125.45	+	1.99	1.56E-18	4.38E-16
negative regulation of chromosome organization (GO:2001251)	79	35	17.57	+	1.99	1.36E-03	4.82E-02
oxidative phosphorylation (GO:0006119)	113	50	25.13	+	1.99	9.58E-05	4.99E-03
RNA modification (GO:0009451)	168	74	37.37	+	1.98	3.17E-06	2.32E-04
negative regulation of autophagy (GO:0010507)	84	37	18.68	+	1.98	8.53E-04	3.30E-02
regulation of RNA splicing (GO:0043484)	150	66	33.36	+	1.98	1.13E-05	7.31E-04
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	40	20.24	+	1.98	5.79E-04	2.42E-02
peptide metabolic process (GO:0006518)	519	228	115.44	+	1.98	1.25E-16	2.97E-14
telomere organization (GO:0032200)	82	36	18.24	+	1.97	1.11E-03	4.08E-02
nuclear export (GO:0051168)	121	53	26.91	+	1.97	1.00E-04	5.16E-03
RNA methylation (GO:0001510)	85	37	18.91	+	1.96	1.31E-03	4.66E-02
protein methylation (GO:0006479)	129	56	28.69	+	1.95	7.30E-05	3.90E-03
protein alkylation (GO:0008213)	129	56	28.69	+	1.95	7.30E-05	3.89E-03
regulation of translation (GO:0006417)	399	173	88.75	+	1.95	1.38E-12	2.12E-10
RNA metabolic process (GO:0016070)	1403	606	312.07	+	1.94	2.79E-42	2.92E-39
aerobic respiration (GO:0009060)	153	66	34.03	+	1.94	1.96E-05	1.23E-03
negative regulation of cellular amide metabolic process (GO:0034249)	188	81	41.82	+	1.94	2.15E-06	1.62E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	58	30.03	+	1.93	6.98E-05	3.77E-03
sister chromatid segregation (GO:0000819)	142	61	31.59	+	1.93	3.44E-05	2.05E-03
cellular response to UV (GO:0034644)	91	39	20.24	+	1.93	1.25E-03	4.49E-02
histone methylation (GO:0016571)	89	38	19.80	+	1.92	1.15E-03	4.23E-02
mitotic nuclear division (GO:0140014)	164	70	36.48	+	1.92	1.17E-05	7.58E-04
histone acetylation (GO:0016573)	106	45	23.58	+	1.91	4.45E-04	1.92E-02
regulation of mRNA metabolic process (GO:1903311)	291	123	64.73	+	1.90	8.22E-09	8.18E-07
peptidyl-lysine modification (GO:0018205)	276	116	61.39	+	1.89	3.22E-08	2.88E-06
double-strand break repair via homologous recombination (GO:0000724)	98	41	21.80	+	1.88	1.24E-03	4.46E-02
regulation of cellular amide metabolic process (GO:0034248)	455	190	101.21	+	1.88	1.83E-12	2.80E-10
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	48	25.58	+	1.88	4.71E-04	2.02E-02
nucleic acid metabolic process (GO:0090304)	2007	836	446.42	+	1.87	1.28E-54	2.23E-51
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	69	36.92	+	1.87	2.70E-05	1.65E-03
double-strand break repair (GO:0006302)	189	78	42.04	+	1.86	9.79E-06	6.55E-04
regulation of proteasomal protein catabolic process (GO:0061136)	187	77	41.59	+	1.85	1.25E-05	8.03E-04
regulation of RNA stability (GO:0043487)	168	69	37.37	+	1.85	4.17E-05	2.43E-03
positive regulation of mitotic cell cycle (GO:0045931)	112	46	24.91	+	1.85	8.34E-04	3.27E-02
RNA localization (GO:0006403)	190	78	42.26	+	1.85	1.06E-05	6.95E-04
regulation of mRNA stability (GO:0043488)	156	64	34.70	+	1.84	6.96E-05	3.77E-03
recombinational repair (GO:0000725)	100	41	22.24	+	1.84	1.41E-03	4.98E-02
respiratory electron transport chain (GO:0022904)	105	43	23.36	+	1.84	1.22E-03	4.41E-02
mitochondrial membrane organization (GO:0007006)	110	45	24.47	+	1.84	1.08E-03	4.01E-02
posttranscriptional regulation of gene expression (GO:0010608)	504	206	112.11	+	1.84	1.09E-12	1.74E-10
peptidyl-lysine acetylation (GO:0018394)	115	47	25.58	+	1.84	6.91E-04	2.77E-02
regulation of mRNA catabolic process (GO:0061013)	167	68	37.15	+	1.83	5.64E-05	3.14E-03
macromolecule methylation (GO:0043414)	253	103	56.28	+	1.83	7.20E-07	6.02E-05
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	90	49.38	+	1.82	3.90E-06	2.77E-04
DNA repair (GO:0006281)	478	193	106.32	+	1.82	1.08E-11	1.54E-09
transcription, DNA-templated (GO:0006351)	394	159	87.64	+	1.81	9.03E-10	1.01E-07
nucleic acid-templated transcription (GO:0097659)	395	159	87.86	+	1.81	9.56E-10	1.05E-07
internal peptidyl-lysine acetylation (GO:0018393)	112	45	24.91	+	1.81	1.21E-03	4.38E-02
transcription by RNA polymerase II (GO:0006366)	247	99	54.94	+	1.80	2.13E-06	1.62E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	516	286.72	+	1.80	2.66E-29	1.44E-26
cellular respiration (GO:0045333)	180	72	40.04	+	1.80	5.09E-05	2.90E-03
response to ionizing radiation (GO:0010212)	148	59	32.92	+	1.79	2.67E-04	1.24E-02
cell cycle checkpoint signaling (GO:0000075)	148	59	32.92	+	1.79	2.67E-04	1.24E-02
mitochondrion organization (GO:0007005)	409	163	90.97	+	1.79	1.21E-09	1.32E-07
RNA biosynthetic process (GO:0032774)	407	162	90.53	+	1.79	1.55E-09	1.67E-07
covalent chromatin modification (GO:0016569)	362	144	80.52	+	1.79	1.26E-08	1.19E-06
response to UV (GO:0009411)	151	60	33.59	+	1.79	3.02E-04	1.38E-02
regulation of macroautophagy (GO:0016241)	141	56	31.36	+	1.79	3.92E-04	1.74E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	121	48	26.91	+	1.78	1.25E-03	4.47E-02
DNA recombination (GO:0006310)	225	89	50.05	+	1.78	8.80E-06	6.01E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	53	29.81	+	1.78	5.81E-04	2.42E-02
histone modification (GO:0016570)	357	141	79.41	+	1.78	2.73E-08	2.47E-06
gene expression (GO:0010467)	1992	781	443.09	+	1.76	9.65E-43	1.08E-39
establishment of RNA localization (GO:0051236)	169	66	37.59	+	1.76	1.72E-04	8.39E-03
cellular response to DNA damage stimulus (GO:0006974)	720	281	160.15	+	1.75	4.88E-15	1.07E-12
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	141	55	31.36	+	1.75	7.46E-04	2.97E-02
RNA transport (GO:0050658)	167	65	37.15	+	1.75	2.17E-04	1.03E-02
nucleic acid transport (GO:0050657)	167	65	37.15	+	1.75	2.17E-04	1.03E-02
protein acetylation (GO:0006473)	134	52	29.81	+	1.74	1.09E-03	4.02E-02
signal transduction in response to DNA damage (GO:0042770)	134	52	29.81	+	1.74	1.09E-03	4.01E-02
positive regulation of translation (GO:0045727)	137	53	30.47	+	1.74	9.04E-04	3.47E-02
mRNA transport (GO:0051028)	137	53	30.47	+	1.74	9.04E-04	3.46E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	243	94	54.05	+	1.74	1.26E-05	8.02E-04
nucleobase-containing compound metabolic process (GO:0006139)	2474	956	550.30	+	1.74	2.52E-51	3.96E-48
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	257	99	57.17	+	1.73	8.21E-06	5.66E-04
RNA phosphodiester bond hydrolysis (GO:0090501)	156	60	34.70	+	1.73	5.08E-04	2.15E-02
nucleocytoplasmic transport (GO:0006913)	216	83	48.05	+	1.73	4.21E-05	2.45E-03
nuclear transport (GO:0051169)	216	83	48.05	+	1.73	4.21E-05	2.44E-03
non-membrane-bounded organelle assembly (GO:0140694)	303	116	67.40	+	1.72	1.45E-06	1.14E-04
regulation of cellular protein catabolic process (GO:1903362)	256	98	56.94	+	1.72	1.08E-05	7.03E-04
